"REF_DATE","GEO","DGUID","Country of residence","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-12","Newfoundland and Labrador","2016A000210","Turks and Caicos Islands","Persons","249","units","0","v126725","2.204","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Turks and Caicos Islands","Persons","249","units","0","v126725","2.204","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Turks and Caicos Islands","Persons","249","units","0","v126725","2.204","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Turks and Caicos Islands","Persons","249","units","0","v126725","2.204","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Turks and Caicos Islands","Persons","249","units","0","v126725","2.204","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Virgin Islands, British","Persons","249","units","0","v126708","2.189","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Virgin Islands, British","Persons","249","units","0","v126708","2.189","1","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Virgin Islands, British","Persons","249","units","0","v126708","2.189","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Virgin Islands, British","Persons","249","units","0","v126708","2.189","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Virgin Islands, British","Persons","249","units","0","v126708","2.189","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Virgin Islands, United States","Persons","249","units","0","v126726","2.205","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Virgin Islands, United States","Persons","249","units","0","v126726","2.205","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Virgin Islands, United States","Persons","249","units","0","v126726","2.205","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Virgin Islands, United States","Persons","249","units","0","v126726","2.205","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Virgin Islands, United States","Persons","249","units","0","v126726","2.205","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Central America, not elsewhere classified","Persons","249","units","0","v126711","2.174","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Central America, not elsewhere classified","Persons","249","units","0","v126711","2.174","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Central America, not elsewhere classified","Persons","249","units","0","v126711","2.174","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Central America, not elsewhere classified","Persons","249","units","0","v126711","2.174","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Central America, not elsewhere classified","Persons","249","units","0","v126711","2.174","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","West Indies, not elsewhere classified","Persons","249","units","0","v126727","2.206","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","West Indies, not elsewhere classified","Persons","249","units","0","v126727","2.206","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","West Indies, not elsewhere classified","Persons","249","units","0","v126727","2.206","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","West Indies, not elsewhere classified","Persons","249","units","0","v126727","2.206","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","West Indies, not elsewhere classified","Persons","249","units","0","v126727","2.206","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Argentina","Persons","249","units","0","v126737","2.210","0","","","","0"
